campaign_length,count,min_goal,max_goal,total_goal,total_pledged,outcome
1,3,8888,100000000,100017776,16055,failed
3,9,125,110059,149495,190,failed
4,4,143,6408,7501,643,failed
5,8,600,14591,53369,898,failed
6,10,50,118000,137650,1320,failed
7,37,50,625391,1111824,5798,failed
8,14,154,70000,169443,606,failed
9,11,167,17708936,20235584,1185,failed
10,40,30,419666,586167,5527,failed
11,14,220,15000,41171,5599,failed
12,13,100,10000,32942,1351,failed
13,16,17,100000,228897,2525,failed
14,57,78,35696,238675,20260,failed
15,110,15,285000,1388459,27290,failed
16,31,15,554201,663622,15127,failed
17,24,27,500000,632361,9299,failed
18,22,100,475000,677467,32006,failed
19,23,250,88000,348720,22931,failed
20,108,80,10000000,10973009,41659,failed
21,97,200,112662,1248896,100247,failed
22,31,400,35000,252778,33986,failed
23,43,200,175000,542443,35605,failed
24,51,300,100000,443490,48919,failed
25,99,100,5000000,6532329,103973,failed
26,52,500,751710,1425706,61185,failed
27,45,60,200000,858403,75763,failed
28,99,88,171540,1398062,149909,failed
29,118,300,500000,2981607,117340,failed
30,3782,1,100000000,313133329,4587764,failed
31,205,47,44336067,49122506,668576,failed
32,109,500,548468,3358340,312184,failed
33,116,96,1000000,4890937,292245,failed
34,55,500,1000000,2549787,174466,failed
35,180,69,2000000,6401181,457541,failed
36,61,150,1250447,3228362,107010,failed
37,44,30,83079,671104,85878,failed
38,42,15,350000,1089076,61351,failed
39,30,350,725000,1231262,191073,failed
40,214,50,1092204,6927410,423462,failed
41,47,300,100000,825110,175380,failed
42,36,800,2377627,3357080,96003,failed
43,17,275,25000,159115,16290,failed
44,24,300,7310781,8296907,144744,failed
45,398,10,450000,11942554,753794,failed
46,30,500,1250000,1917215,425972,failed
47,20,500,300000,852759,49822,failed
48,21,100,650160,836598,23276,failed
49,16,1500,550000,696019,8246,failed
50,62,500,275000,1948060,136389,failed
51,19,375,50000,232495,17082,failed
52,18,450,500000,1118866,84843,failed
53,11,214,650000,1020145,3579,failed
54,13,500,100000,175885,6838,failed
55,20,500,285000,645245,13574,failed
56,20,434,5000000,5637848,17379,failed
57,18,700,3000000,3281452,30647,failed
58,19,500,1000000,1212574,5534,failed
59,45,1500,100000,954190,46591,failed
60,851,1,100000000,173086145,794992,failed
61,14,500,44004,176404,19407,failed
62,3,5000,10000,22200,1550,failed
63,2,5400,7000,12400,2743,failed
64,2,6000,15000,21000,2300,failed
66,7,800,11111,41011,6348,failed
67,1,20000,20000,20000,685,failed
69,1,30000,30000,30000,0,failed
70,2,3000,6000,9000,757,failed
71,2,3000,4500,7500,1869,failed
72,1,15000,15000,15000,0,failed
73,1,10000,10000,10000,0,failed
75,2,2500,8000,10500,1111,failed
76,1,3300,3300,3300,0,failed
77,1,5700,5700,5700,0,failed
78,1,2500,2500,2500,80,failed
80,1,11000,11000,11000,1460,failed
81,1,6000,6000,6000,3590,failed
83,2,3500,4500,8000,100,failed
84,2,1500,5000,6500,295,failed
86,5,700,40000,51700,11167,failed
87,1,3000,3000,3000,325,failed
88,3,3000,7000,15000,190,failed
89,8,1500,25000,70250,2651,failed
90,40,500,75000,514275,41404,failed
91,13,1000,125000,232600,18658,failed
92,1,50000,50000,50000,1025,failed
